id,Title,Abstract,Author,Link,Publish Date,Update Date,Primary Category,Category,Publish Year,Category_New
cs/9809058v1,"The OSU Scheme for Congestion Avoidance in ATM Networks: Lessons Learnt
  and Extensions","the osu scheme is a rate-based congestion avoidance scheme for atm networks using explicit rate indication. this work was one of the first attempts to define explicit rate switch mechanisms and the resource management (rm) cell format in asynchronous transfer mode (atm) networks. the key features of the scheme include explicit rate feedback, congestion avoidance, fair operation while maintaining high utilization, use of input rate as a congestion metric, o(1) complexity. this paper presents an overview of the scheme, presents those features of the scheme that have now become common features of other switch algorithms and discusses three extensions of the scheme.",Raj Jain,http://arxiv.org/pdf/cs/9809058v1,1998-09-23T15:09:56Z,1998-09-23T15:09:56Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9805101v1,Integrative Windowing,"in this paper we re-investigate windowing for rule learning algorithms. we show that, contrary to previous results for decision tree learning, windowing can in fact achieve significant run-time gains in noise-free domains and explain the different behavior of rule learning algorithms by the fact that they learn each rule independently. the main contribution of this paper is integrative windowing, a new type of algorithm that further exploits this property by integrating good rules into the final theory right after they have been discovered. thus it avoids re-learning these rules in subsequent iterations of the windowing process. experimental evidence in a variety of noise-free domains shows that integrative windowing can in fact achieve substantial run-time gains. furthermore, we discuss the problem of noise in windowing and present an algorithm that is able to achieve run-time gains in a set of experiments in a simple domain with artificial noise.",J. Fürnkranz,http://arxiv.org/pdf/cs/9805101v1,1998-05-01T00:00:00Z,1998-05-01T00:00:00Z,cs.AI,['cs.AI'],1998,cs
cs/9809069v1,"Design Considerations for the Virtual Source/Virtual Destination (VS/VD)
  Feature in the ABR Service of ATM Networks","the available bit rate (abr) service in atm networks has been specified to allow fair and efficient support of data applications over atm utilizing capacity left over after servicing higher priority classes. one of the architectural features in the abr specification [tm4] is the virtual source/virtual destination (vs/vd) option. this option allows a switch to divide an end-to-end abr connection into separately controlled abr segments by acting like a destination on one segment, and like a source on the other. the coupling in the vs/vd switch between the two abr control segments is implementation specific. in this paper, we model a vs/vd atm switch and study the issues in designing coupling between abr segments. we identify a number of implementation options for the coupling. a good choice significantly improves the stability and transient performance of the system and reduces the buffer requirements at the switches.",Shiv Kalyanaraman,http://arxiv.org/pdf/cs/9809069v1,1998-09-24T03:06:39Z,1998-09-24T03:06:39Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9810017v1,General Theory of Image Normalization,"we give a systematic, abstract formulation of the image normalization method as applied to a general group of image transformations, and then illustrate the abstract analysis by applying it to the hierarchy of viewing transformations of a planar object.",Stephen L. Adler,http://arxiv.org/pdf/cs/9810017v1,1998-10-19T20:46:16Z,1998-10-19T20:46:16Z,cs.CV,"['cs.CV', 'I.2.10, I.4.7, I.4.8']",1998,cs
cs/9809030v1,"Fast, Approximate Synthesis of Fractional Gaussian Noise for Generating
  Self-Similar Network Traffic","recent network traffic studies argue that network arrival processes are much more faithfully modeled using statistically self-similar processes instead of traditional poisson processes [ltww94,pf95]. one difficulty in dealing with self-similar models is how to efficiently synthesize traces (sample paths) corresponding to self-similar traffic. we present a fast fourier transform method for synthesizing approximate self-similar sample paths for one type of self-similar process, fractional gaussian noise, and assess its performance and validity. we find that the method is as fast or faster than existing methods and appears to generate close approximations to true self-similar sample paths. we also discuss issues in using such synthesized sample paths for simulating network traffic, and how an approximation used by our method can dramatically speed up evaluation of whittle's estimator for h, the hurst parameter giving the strength of long-range dependence present in a self-similar time series.",Vern Paxson,http://arxiv.org/pdf/cs/9809030v1,1998-09-18T05:18:06Z,1998-09-18T05:18:06Z,cs.NI,"['cs.NI', 'C.2.m']",1998,cs
cs/9811016v1,Comparing a statistical and a rule-based tagger for German,"in this paper we present the results of comparing a statistical tagger for german based on decision trees and a rule-based brill-tagger for german. we used the same training corpus (and therefore the same tag-set) to train both taggers. we then applied the taggers to the same test corpus and compared their respective behavior and in particular their error rates. both taggers perform similarly with an error rate of around 5%. from the detailed error analysis it can be seen that the rule-based tagger has more problems with unknown words than the statistical tagger. but the results are opposite for tokens that are many-ways ambiguous. if the unknown words are fed into the taggers with the help of an external lexicon (such as the gertwol system) the error rate of the rule-based tagger drops to 4.7%, and the respective rate of the statistical taggers drops to around 3.7%. combining the taggers by using the output of one tagger to help the other did not lead to any further improvement.",Martin Volk,http://arxiv.org/pdf/cs/9811016v1,1998-11-11T11:06:34Z,1998-11-11T11:06:34Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs
cs/9809056v1,Analysis and Modeling of Traffic in Modern Data Communication Networks,"in performance analysis and design of communication netword modeling data traffic is important. with introduction of new applications, the characteristics of the data traffic changes. we present a brief review the different models of data traffic and how they have evolved. we present results of data traffic analysis and simulated traffic, which demonstrates that the packet train model fits the traffic at source destination level and long-memory (self-similar) model fits the traffic at the aggregate level.",G. Babic,http://arxiv.org/pdf/cs/9809056v1,1998-09-23T15:01:00Z,1998-09-23T15:01:00Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809010v1,The Revolution Yet to Happen,"all information about physical objects including humans, buildings, processes, and organizations will be online. this trend is both desirable and inevitable. cyberspace will provide the basis for wonderful new ways to inform, entertain, and educate people. the information and the corresponding systems will streamline commerce, but will also provide new levels of personal service, health care, and automation. the most significant benefit will be a breakthrough in our ability to remotely communicate with one another using all our senses.   the acm and the transistor were born in 1947. at that time the stored program computer was a revolutionary idea and the transistor was just a curiosity. both ideas evolved rapidly. by the mid 1960s integrated circuits appeared -- allowing mass fabrication of transistors on silicon substrates. this allowed low-cost mass-produced computers. these technologies enabled extraordinary increases in processing speed and memory coupled with extraordinary price declines.   the only form of processing and memory more easily, cheaply, and rapidly fabricated is the human brain. peter cohrane (1996) estimates the brain to have a processing power of around 1000 million-million operations per second, (one petaops) and a memory of 10 terabytes. if current trends continue, computers could have these capabilities by 2047. such computers could be 'on body' personal assistants able to recall everything one reads, hears, and sees.",C. Gordon Bell,http://arxiv.org/pdf/cs/9809010v1,1998-09-02T19:39:25Z,1998-09-02T19:39:25Z,cs.GL,"['cs.GL', 'C.0']",1998,cs
cs/9809028v1,Separating Dependency from Constituency in a Tree Rewriting System,in this paper we present a new tree-rewriting formalism called link-sharing tree adjoining grammar (lstag) which is a variant of synchronous tags. using lstag we define an approach towards coordination where linguistic dependency is distinguished from the notion of constituency. such an approach towards coordination that explicitly distinguishes dependencies from constituency gives a better formal understanding of its representation when compared to previous approaches that use tree-rewriting systems which conflate the two issues.,Anoop Sarkar,http://arxiv.org/pdf/cs/9809028v1,1998-09-18T04:44:02Z,1998-09-18T04:44:02Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs
cs/9809107v1,Computing Declarative Prosodic Morphology,"this paper describes a computational, declarative approach to prosodic morphology that uses inviolable constraints to denote small finite candidate sets which are filtered by a restrictive incremental optimization mechanism. the new approach is illustrated with an implemented fragment of modern hebrew verbs couched in microcuf, an expressive constraint logic formalism. for generation and parsing of word forms, i propose a novel off-line technique to eliminate run-time optimization. it produces a finite-state oracle that efficiently restricts the constraint interpreter's search space. as a byproduct, unknown words can be analyzed without special mechanisms. unlike pure finite-state transducer approaches, this hybrid setup allows for more expressivity in constraints to specify e.g. token identity for reduplication or arithmetic constraints for phonetics.",Markus Walther,http://arxiv.org/pdf/cs/9809107v1,1998-09-25T14:32:38Z,1998-09-25T14:32:38Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs
cs/9809054v1,"Design Issues for providing Minimum Rate Guarantees to the ATM
  Unspecified Bit Rate Service","recent enhancements have been proposed to the atm unspecified bit rate (ubr) service that guarantee a minimum rate at the frame level to the ubr vcs. these enhancements have been called guaranteed frame rate (gfr). in this paper, we discuss the motivation, design and implementation issues for gfr. we present the design of buffer management and policing mechanisms to implement gfr. we study the effects of policing, per-vc buffer allocation, and per-vc queuing on providing gfr to tcp/ip traffic. we conclude that per-vc scheduling is necessary to provide minimum rate guarantees to tcp traffic. we examine the role of frame tagging in the presence of scheduling and buffer management for providing minumum rate guarantees. the use of gfr to support the internet controlled load service is also discussed.",Rohit Goyal,http://arxiv.org/pdf/cs/9809054v1,1998-09-23T14:28:50Z,1998-09-23T14:28:50Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809045v1,"Performance of TCP over ABR with Long-Range Dependent VBR Background
  Traffic over Terrestrial and Satellite ATM networks","compressed video is well known to be self-similar in nature. we model vbr carrying long-range dependent (lrd), multiplexed mpeg-2 video sources. the actual traffic for the model is generated using fast-fourier transform of generate the fractional gaussian noise (fgn) sequence. our model of compressed video sources bears similarity to an mpeg-2 transport stream carrying video, i.e., it is long-range dependent and generates traffic in a piecewise-cbr fashion. we study the effect of such vbr traffic on abr carrying tcp traffic. the effect of such vbr traffic is that the abr capacity is highly variant. we find that a switch algorithm like erica+ can tolerate this variance in abr capacity while maintaining high throughput and low delay. we present simulation results for terrestrial and satellite configurations.",Shivkumar Kalyanaraman,http://arxiv.org/pdf/cs/9809045v1,1998-09-23T01:40:13Z,1998-09-23T01:40:13Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9812002v1,Training Reinforcement Neurocontrollers Using the Polytope Algorithm,a new training algorithm is presented for delayed reinforcement learning problems that does not assume the existence of a critic model and employs the polytope optimization algorithm to adjust the weights of the action network so that a simple direct measure of the training performance is maximized. experimental results from the application of the method to the pole balancing problem indicate improved training performance compared with critic-based and genetic reinforcement approaches.,A. Likas,http://arxiv.org/pdf/cs/9812002v1,1998-12-03T09:08:03Z,1998-12-03T09:08:03Z,cs.NE,"['cs.NE', 'C.1.3']",1998,cs
cs/9811008v1,"Translating near-synonyms: Possibilities and preferences in the
  interlingua","this paper argues that an interlingual representation must explicitly represent some parts of the meaning of a situation as possibilities (or preferences), not as necessary or definite components of meaning (or constraints). possibilities enable the analysis and generation of nuance, something required for faithful translation. furthermore, the representation of the meaning of words, especially of near-synonyms, is crucial, because it specifies which nuances words can convey in which contexts.",Philip Edmonds,http://arxiv.org/pdf/cs/9811008v1,1998-11-02T21:29:41Z,1998-11-02T21:29:41Z,cs.CL,"['cs.CL', 'I.2.7; I.2.4']",1998,cs
cs/9809093v1,"A Delay Based Approach for Congestion Avoidance in Interconnected
  Heterogeneous Computer Networks","in heterogeneous networks, achieving congestion avoidance is difficult because the congestion feedback from one subnetwork may have no meaning to source on other other subnetworks. we propose using changes in round-trip delay as an implicit feedback. using a black-box model of the network, we derive an expression for the optimal window as a function of the gradient of the delay-window curve.   the problems of selfish optimum and social optimum are also addressed. it is shown that without a careful design, it is possible to get into a race condition during heavy congestion, where each user wants more resources than others, thereby leading to a diverging congestion   it is shown that congestion avoidance using round trip delay is a promising approach. the aproach has the advantage that there is absolutely no overhead for the network itself. it is exemplified by a simple scheme. the performance of the scheme is analyzed using a simulation model. the scheme is shown to be efficient, fair, convergent and adaptive to changes in network configuration.   the scheme as described works only for networks that can ne modelled with queueing servers with constant service times. further research is required to extend it for implementation in practical networks. several directions for future research have beensuggested.",R. Jain,http://arxiv.org/pdf/cs/9809093v1,1998-09-24T05:00:18Z,1998-09-24T05:00:18Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809066v1,"TCP Selective Acknowledgments and UBR Drop Policies to Improve ATM-UBR
  Performance over Terrestrial and Satellite Networks","we study the performance of selective acknowledgments with tcp over the atm-ubr service category. we examine various ubr drop policies, tcp mechanisms and network configurations to recommend optimal parameters for tcp over ubr. we discuss various tcp congestion control mechanisms compare their performance for lan and wan networks. we describe the effect of satellite delays on tcp performance over ubr and present simulation results for lan, wan and satellite networks. sack tcp improves the performance of tcp over ubr, especially for large delay networks. intelligent drop policies at the switches are an important factor for good performance in local area networks.",Rohit Goyal,http://arxiv.org/pdf/cs/9809066v1,1998-09-24T02:53:18Z,1998-09-24T02:53:18Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809050v1,"A Freely Available Morphological Analyzer, Disambiguator and Context
  Sensitive Lemmatizer for German","in this paper we present morphy, an integrated tool for german morphology, part-of-speech tagging and context-sensitive lemmatization. its large lexicon of more than 320,000 word forms plus its ability to process german compound nouns guarantee a wide morphological coverage. syntactic ambiguities can be resolved with a standard statistical part-of-speech tagger. by using the output of the tagger, the lemmatizer can determine the correct root even for ambiguous word forms. the complete package is freely available and can be downloaded from the world wide web.",Wolfgang Lezius,http://arxiv.org/pdf/cs/9809050v1,1998-09-23T12:59:39Z,1998-09-23T12:59:39Z,cs.CL,"['cs.CL', 'H.3.4']",1998,cs
cs/9809116v1,"The Complexity of Computing Optimal Assignments of Generalized
  Propositional Formulae","we consider the problems of finding the lexicographically minimal (or maximal) satisfying assignment of propositional formulae for different restricted formula classes. it turns out that for each class from our framework, the above problem is either polynomial time solvable or complete for optp. we also consider the problem of deciding if in the optimal assignment the largest variable gets value 1. we show that this problem is either in p or p^np complete.",Steffen Reith,http://arxiv.org/pdf/cs/9809116v1,1998-09-28T08:38:27Z,1998-09-28T08:38:27Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs
cs/9810008v1,Axiomatizing Flat Iteration,"flat iteration is a variation on the original binary version of the kleene star operation p*q, obtained by restricting the first argument to be a sum of atomic actions. it generalizes prefix iteration, in which the first argument is a single action. complete finite equational axiomatizations are given for five notions of bisimulation congruence over basic ccs with flat iteration, viz. strong congruence, branching congruence, eta-congruence, delay congruence and weak congruence. such axiomatizations were already known for prefix iteration and are known not to exist for general iteration. the use of flat iteration has two main advantages over prefix iteration: 1.the current axiomatizations generalize to full ccs, whereas the prefix iteration approach does not allow an elimination theorem for an asynchronous parallel composition operator. 2.the greater expressiveness of flat iteration allows for much shorter completeness proofs.   in the setting of prefix iteration, the most convenient way to obtain the completeness theorems for eta-, delay, and weak congruence was by reduction to the completeness theorem for branching congruence. in the case of weak congruence this turned out to be much simpler than the only direct proof found. in the setting of flat iteration on the other hand, the completeness theorems for delay and weak (but not eta-) congruence can equally well be obtained by reduction to the one for strong congruence, without using branching congruence as an intermediate step. moreover, the completeness results for prefix iteration can be retrieved from those for flat iteration, thus obtaining a second indirect approach for proving completeness for delay and weak congruence in the setting of prefix iteration.",R. J. van Glabbeek,http://arxiv.org/pdf/cs/9810008v1,1998-10-07T22:39:16Z,1998-10-07T22:39:16Z,cs.LO,"['cs.LO', 'D.3.1; F.1.2; F.3.2']",1998,cs
cs/9810026v1,"The Railroad Crossing Problem: An Experiment with Instantaneous Actions
  and Immediate Reactions",we give an evolving algebra solution for the well-known railroad crossing problem and use the occasion to experiment with agents that perform instantaneous actions in continuous time and in particular with agents that fire at the moment they are enabled.,Yuri Gurevich,http://arxiv.org/pdf/cs/9810026v1,1998-10-26T19:24:37Z,1998-10-26T19:24:37Z,cs.SE,"['cs.SE', 'D.2.4']",1998,cs
cs/9809055v1,Providing Rate Guarantees to TCP over the ATM GFR Service,"the atm guaranteed frame rate (gfr) service is intended for best effort traffic that can benefit from minimum throughput guarantees. edge devices connecting lans to an atm network can use gfr to transport multiple tcp/ip connections over a single gfr vc.these devices would typically multiplex vcs into a single fifo queue. it has been shown that in general, fifo queuing is not sufficient to provide rate guarantees, and per-vc queuing with scheduling is needed. we show that under conditions of low buffer allocation, it is possible to control tcp rates with fifo queuing and buffer management. we present analysis and simulation results on controlling tcp rates by buffer management. we present a buffer management policy that provides loose rate guarantees to sack tcp sources when the total buffer allocation is low. we study the performance of this buffer management scheme by simulation.",Rohit Goyal,http://arxiv.org/pdf/cs/9809055v1,1998-09-23T14:49:49Z,1998-09-23T14:49:49Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9810006v1,The Tiny Tera: A Packet Switch Core,"the objective is to design and build a small, high-bandwidth switch.",Nick McKeown,http://arxiv.org/pdf/cs/9810006v1,1998-10-05T17:50:02Z,1998-10-05T17:50:02Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9812023v1,Virtual Kathakali : Gesture Driven Metamorphosis,"training in motor skills such as athletics, dance, or gymnastics is not possible today except in the direct presence of the coach/instructor. this paper describes a computer vision based gesture recognition system which is used to metamorphose the user into a virtual person, e.g. as a kathakali dancer, which is graphically recreated at a near or diatant location. thus this can be seen by an off-site coach using low-bandwidth joint-motion data which permits real time animation. the metamorphosis involves altering the appearance and identity of the user and also creating a specific environment possibly in interaction with other virtual creatures.   a robust vision module is used to identify the user, based on very simple binary image processing in real time which also manages to resolve self-occlusion, correct for clothing/colour and other variations among users. gestures are identified by locating key points at the shoulder, elbow and wrist joint, which are then recreated in an articulated humanoid model, which in this instance, representes a kathakali dancer in elaborate traditional dress. unlike glove based or other and movement tracking systems, this application requires the user to wear no hardwire devices and is aimed at making gesture tracking simpler, cheaper, and more user friendly.",Soumyadeep Paul,http://arxiv.org/pdf/cs/9812023v1,1998-12-29T16:50:27Z,1998-12-29T16:50:27Z,cs.HC,"['cs.HC', 'K.3.1; I.3.7; H.5.2; H.5.1']",1998,cs
cs/9809096v1,"A Timeout Based Congestion Control Scheme for Window Flow- Controlled
  Networks","during overload, most networks drop packets due to buffer unavailability. the resulting timeouts at the source provide an implicit mechanism to convey congestion signals from the network to the source. on a timeout, a source should not only retransmit the lost packet, but it should also reduce its load on the network. based on this realization, we have developed a simple congestion control scheme using the acknowledgment timeouts as indications of packet loss and congestion. this scheme does not require any new message formats, therefore, it can be used in any network with window flow control, e.g., arpanet or iso.",R. Jain,http://arxiv.org/pdf/cs/9809096v1,1998-09-24T05:12:55Z,1998-09-24T05:12:55Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809082v1,Congestion Control with Explicit Rate Indication,"as the speed and the dynamic range of computer networks evolve, the issue of efficient traffic management becomes increasingly important. this work describes an approach to traffic management using explicit rate information provided to the source by the network. we present an asynchronous distributed algorithm for optimal rate calculation across the network, where optimality is understood in the maxmin sense. the algorithm quickly converges to the optimal rates and is shown to be well-behaved in transience.",A. Charny,http://arxiv.org/pdf/cs/9809082v1,1998-09-24T04:33:40Z,1998-09-24T04:33:40Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809031v1,"Security amplification by composition: The case of doubly-iterated,
  ideal ciphers","we investigate, in the shannon model, the security of constructions corresponding to double and (two-key) triple des. that is, we consider f_{k1}(f_{k2}(.)) and f_{k1}(f_{k2}^{-1}(f_{k1}(.))) with the component functions being ideal ciphers. this models the resistance of these constructions to ``generic'' attacks like meet in the middle attacks. we obtain the first proof that composition actually increases the security of these constructions in some meaningful sense. we compute a bound on the probability of breaking the double cipher as a function of the number of computations of the base cipher made, and the number of examples of the composed cipher seen, and show that the success probability is the square of that for a single key cipher. the same bound holds for the two-key triple cipher. the first bound is tight and shows that meet in the middle is the best possible generic attack against the double cipher.",William Aiello,http://arxiv.org/pdf/cs/9809031v1,1998-09-18T19:02:15Z,1998-09-18T19:02:15Z,cs.CR,"['cs.CR', 'C.2.0']",1998,cs
cs/9809005v1,"The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules
  of Thumb","simple economic and performance arguments suggest appropriate lifetimes for main memory pages and suggest optimal page sizes. the fundamental tradeoffs are the prices and bandwidths of rams and disks. the analysis indicates that with today's technology, five minutes is a good lifetime for randomly accessed pages, one minute is a good lifetime for two-pass sequentially accessed pages, and 16 kb is a good size for index pages. these rules-of-thumb change in predictable ways as technology ratios change. they also motivate the importance of the new kaps, maps, scans, and $/kaps, $/maps, $/tbscan metrics.",Jim Gray,http://arxiv.org/pdf/cs/9809005v1,1998-09-02T01:49:32Z,1998-09-02T01:49:32Z,cs.DB,"['cs.DB', 'H.3.4']",1998,cs
cs/9809024v2,A Lexicalized Tree Adjoining Grammar for English,"this document describes a sizable grammar of english written in the tag formalism and implemented for use with the xtag system. this report and the grammar described herein supersedes the tag grammar described in an earlier 1995 xtag technical report. the english grammar described in this report is based on the tag formalism which has been extended to include lexicalization, and unification-based feature structures. the range of syntactic phenomena that can be handled is large and includes auxiliaries (including inversion), copula, raising and small clause constructions, topicalization, relative clauses, infinitives, gerunds, passives, adjuncts, it-clefts, wh-clefts, pro constructions, noun-noun modifications, extraposition, determiner sequences, genitives, negation, noun-verb contractions, sentential adjuncts and imperatives. this technical report corresponds to the xtag release 8/31/98. the xtag grammar is continuously updated with the addition of new analyses and modification of old ones, and an online version of this report can be found at the xtag web page at http://www.cis.upenn.edu/~xtag/",XTAG Research Group,http://arxiv.org/pdf/cs/9809024v2,1998-09-18T00:33:47Z,1998-09-18T02:49:22Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs
