id,Title,Abstract,Author,Link,Publish Date,Update Date,Primary Category,Category,Publish Year,Category_New,Subcategory
cs/9812010v1,Towards a computational theory of human daydreaming,"this paper examines the phenomenon of daydreaming: spontaneously recalling or imagining personal or vicarious experiences in the past or future. the following important roles of daydreaming in human cognition are postulated: plan preparation and rehearsal, learning from failures and successes, support for processes of creativity, emotion regulation, and motivation.   a computational theory of daydreaming and its implementation as the program daydreamer are presented. daydreamer consists of 1) a scenario generator based on relaxed planning, 2) a dynamic episodic memory of experiences used by the scenario generator, 3) a collection of personal goals and control goals which guide the scenario generator, 4) an emotion component in which daydreams initiate, and are initiated by, emotional states arising from goal outcomes, and 5) domain knowledge of interpersonal relations and common everyday occurrences.   the role of emotions and control goals in daydreaming is discussed. four control goals commonly used in guiding daydreaming are presented: rationalization, failure/success reversal, revenge, and preparation. the role of episodic memory in daydreaming is considered, including how daydreamed information is incorporated into memory and later used. an initial version of daydreamer which produces several daydreams (in english) is currently running.",Erik T. Mueller,http://arxiv.org/pdf/cs/9812010v1,1998-12-10T16:29:07Z,1998-12-10T16:29:07Z,cs.AI,"['cs.AI', 'I.2.0']",1998,cs,AI
cs/9809054v1,"Design Issues for providing Minimum Rate Guarantees to the ATM
  Unspecified Bit Rate Service","recent enhancements have been proposed to the atm unspecified bit rate (ubr) service that guarantee a minimum rate at the frame level to the ubr vcs. these enhancements have been called guaranteed frame rate (gfr). in this paper, we discuss the motivation, design and implementation issues for gfr. we present the design of buffer management and policing mechanisms to implement gfr. we study the effects of policing, per-vc buffer allocation, and per-vc queuing on providing gfr to tcp/ip traffic. we conclude that per-vc scheduling is necessary to provide minimum rate guarantees to tcp traffic. we examine the role of frame tagging in the presence of scheduling and buffer management for providing minumum rate guarantees. the use of gfr to support the internet controlled load service is also discussed.",Rohit Goyal,http://arxiv.org/pdf/cs/9809054v1,1998-09-23T14:28:50Z,1998-09-23T14:28:50Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809026v1,Prefix Probabilities from Stochastic Tree Adjoining Grammars,"language models for speech recognition typically use a probability model of the form pr(a_n | a_1, a_2, ..., a_{n-1}). stochastic grammars, on the other hand, are typically used to assign structure to utterances. a language model of the above form is constructed from such grammars by computing the prefix probability sum_{w in sigma*} pr(a_1 ... a_n w), where w represents all possible terminations of the prefix a_1 ... a_n. the main result in this paper is an algorithm to compute such prefix probabilities given a stochastic tree adjoining grammar (tag). the algorithm achieves the required computation in o(n^6) time. the probability of subderivations that do not derive any words in the prefix, but contribute structurally to its derivation, are precomputed to achieve termination. this algorithm enables existing corpus-based estimation techniques for stochastic tags to be used for language modelling.",Mark-Jan Nederhof,http://arxiv.org/pdf/cs/9809026v1,1998-09-18T03:45:45Z,1998-09-18T03:45:45Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs,CL
cs/9810024v1,Evolving Algebras and Partial Evaluation,we describe an automated partial evaluator for evolving algebras implemented at the university of michigan.,Yuri Gurevich,http://arxiv.org/pdf/cs/9810024v1,1998-10-26T19:13:12Z,1998-10-26T19:13:12Z,cs.SE,"['cs.SE', 'D.2.4']",1998,cs,SE
cs/9809024v2,A Lexicalized Tree Adjoining Grammar for English,"this document describes a sizable grammar of english written in the tag formalism and implemented for use with the xtag system. this report and the grammar described herein supersedes the tag grammar described in an earlier 1995 xtag technical report. the english grammar described in this report is based on the tag formalism which has been extended to include lexicalization, and unification-based feature structures. the range of syntactic phenomena that can be handled is large and includes auxiliaries (including inversion), copula, raising and small clause constructions, topicalization, relative clauses, infinitives, gerunds, passives, adjuncts, it-clefts, wh-clefts, pro constructions, noun-noun modifications, extraposition, determiner sequences, genitives, negation, noun-verb contractions, sentential adjuncts and imperatives. this technical report corresponds to the xtag release 8/31/98. the xtag grammar is continuously updated with the addition of new analyses and modification of old ones, and an online version of this report can be found at the xtag web page at http://www.cis.upenn.edu/~xtag/",XTAG Research Group,http://arxiv.org/pdf/cs/9809024v2,1998-09-18T00:33:47Z,1998-09-18T02:49:22Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs,CL
cs/9809100v1,Data Flies Standby with ABR Service,explanation of abr service in plain language.,R. Jain,http://arxiv.org/pdf/cs/9809100v1,1998-09-24T05:31:55Z,1998-09-24T05:31:55Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9805101v1,Integrative Windowing,"in this paper we re-investigate windowing for rule learning algorithms. we show that, contrary to previous results for decision tree learning, windowing can in fact achieve significant run-time gains in noise-free domains and explain the different behavior of rule learning algorithms by the fact that they learn each rule independently. the main contribution of this paper is integrative windowing, a new type of algorithm that further exploits this property by integrating good rules into the final theory right after they have been discovered. thus it avoids re-learning these rules in subsequent iterations of the windowing process. experimental evidence in a variety of noise-free domains shows that integrative windowing can in fact achieve substantial run-time gains. furthermore, we discuss the problem of noise in windowing and present an algorithm that is able to achieve run-time gains in a set of experiments in a simple domain with artificial noise.",J. Fürnkranz,http://arxiv.org/pdf/cs/9805101v1,1998-05-01T00:00:00Z,1998-05-01T00:00:00Z,cs.AI,['cs.AI'],1998,cs,AI
cs/9806102v1,"A Selective Macro-learning Algorithm and its Application to the NxN
  Sliding-Tile Puzzle","one of the most common mechanisms used for speeding up problem solvers is macro-learning. macros are sequences of basic operators acquired during problem solving. macros are used by the problem solver as if they were basic operators. the major problem that macro-learning presents is the vast number of macros that are available for acquisition. macros increase the branching factor of the search space and can severely degrade problem-solving efficiency. to make macro learning useful, a program must be selective in acquiring and utilizing macros. this paper describes a general method for selective acquisition of macros. solvable training problems are generated in increasing order of difficulty. the only macros acquired are those that take the problem solver out of a local minimum to a better state. the utility of the method is demonstrated in several domains, including the domain of nxn sliding-tile puzzles. after learning on small puzzles, the system is able to efficiently solve puzzles of any size.",L. Finkelstein,http://arxiv.org/pdf/cs/9806102v1,1998-06-01T00:00:00Z,1998-06-01T00:00:00Z,cs.AI,['cs.AI'],1998,cs,AI
cs/9810014v1,Resources for Evaluation of Summarization Techniques,"we report on two corpora to be used in the evaluation of component systems for the tasks of (1) linear segmentation of text and (2) summary-directed sentence extraction. we present characteristics of the corpora, methods used in the collection of user judgments, and an overview of the application of the corpora to evaluating the component system. finally, we discuss the problems and issues with construction of the test set which apply broadly to the construction of evaluation resources for language technologies.",Judith L. Klavans,http://arxiv.org/pdf/cs/9810014v1,1998-10-13T20:33:05Z,1998-10-13T20:33:05Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
cs/9809020v1,Linear Segmentation and Segment Significance,"we present a new method for discovering a segmental discourse structure of a document while categorizing segment function. we demonstrate how retrieval of noun phrases and pronominal forms, along with a zero-sum weighting scheme, determines topicalized segmentation. futhermore, we use term distribution to aid in identifying the role that the segment performs in the document. finally, we present results of evaluation in terms of precision and recall which surpass earlier approaches.",Min-Yen Kan,http://arxiv.org/pdf/cs/9809020v1,1998-09-15T23:49:32Z,1998-09-15T23:49:32Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
cs/9811028v1,TCP Trunking,"a tcp trunk is an ip tunnel under tcp control, capable of carrying packets from any number of user flows. by exploiting properties of tcp, a tcp trunk provides elastic and reliable transmission over a network, and automatically shares the network fairly with other competing trunks. moreover, by aggregating user flows into a single trunk flow, tcp trunking can significantly reduce the number of flows that the network needs to manage, thereby allowing use of simplified management to achieve improved perfor mance. for example, when dealing with only a small number of tcp trunk flows, a router with a simple fifo buffer can experience low packet loss rates.   a tcp trunk is a ""soft"" circuit in the sense that it requires no flow states to be maintained inside the network. setting up a tcp trunk involves only configuring the two end nodes. this is in contrast with traditional methods of configuring circuits via signaling of network nodes.   a simple packet-dropping mechanism based on packet accounting at the transmitter of a tcp trunk assures that, when the trunk reduces its bandwidth in response to network congestion, user tcp flows carried by the trunk will reduce their bandwidths by the same proportion. simu lation results have demonstrated that tcp trunks can provide improved network performance to users, while achieving high network utilization.",H. T. Kung,http://arxiv.org/pdf/cs/9811028v1,1998-11-20T20:55:45Z,1998-11-20T20:55:45Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809107v1,Computing Declarative Prosodic Morphology,"this paper describes a computational, declarative approach to prosodic morphology that uses inviolable constraints to denote small finite candidate sets which are filtered by a restrictive incremental optimization mechanism. the new approach is illustrated with an implemented fragment of modern hebrew verbs couched in microcuf, an expressive constraint logic formalism. for generation and parsing of word forms, i propose a novel off-line technique to eliminate run-time optimization. it produces a finite-state oracle that efficiently restricts the constraint interpreter's search space. as a byproduct, unknown words can be analyzed without special mechanisms. unlike pure finite-state transducer approaches, this hybrid setup allows for more expressivity in constraints to specify e.g. token identity for reduplication or arithmetic constraints for phonetics.",Markus Walther,http://arxiv.org/pdf/cs/9809107v1,1998-09-25T14:32:38Z,1998-09-25T14:32:38Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
cs/9803103v1,Tractability of Theory Patching,"in this paper we consider the problem of `theory patching', in which we are given a domain theory, some of whose components are indicated to be possibly flawed, and a set of labeled training examples for the domain concept. the theory patching problem is to revise only the indicated components of the theory, such that the resulting theory correctly classifies all the training examples. theory patching is thus a type of theory revision in which revisions are made to individual components of the theory. our concern in this paper is to determine for which classes of logical domain theories the theory patching problem is tractable. we consider both propositional and first-order domain theories, and show that the theory patching problem is equivalent to that of determining what information contained in a theory is `stable' regardless of what revisions might be performed to the theory. we show that determining stability is tractable if the input theory satisfies two conditions: that revisions to each theory component have monotonic effects on the classification of examples, and that theory components act independently in the classification of examples in the theory. we also show how the concepts introduced can be used to determine the soundness and completeness of particular theory patching algorithms.",S. Argamon-Engelson,http://arxiv.org/pdf/cs/9803103v1,1998-03-01T00:00:00Z,1998-03-01T00:00:00Z,cs.AI,['cs.AI'],1998,cs,AI
cs/9809085v1,"Congestion Control and Traffic Management in ATM Networks: Recent
  Advances and A Survey","congestion control mechanisms for atm networks as selected by the atm forum traffic management group are described. reasons behind these selections are explained. in particular, selection criteria for selection between rate-based and credit-based approach and the key points of the debate between the two approaches are presented. the approach that was finally selected and several other schemes that were considered are described.",R. Jain,http://arxiv.org/pdf/cs/9809085v1,1998-09-24T04:41:32Z,1998-09-24T04:41:32Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809101v1,Flood Routing Technique for Data Networks,"in this paper, a new routing algorithm based on a flooding method is introduced. flooding techniques have been used previously, e.g. for broadcasting the routing table in the arpanet [1] and other special purpose networks [3][4][5]. however, sending data using flooding can often saturate the network [2] and it is usually regarded as an inefficient broadcast mechanism. our approach is to flood a very short packet to explore an optimal route without relying on a pre-established routing table, and an efficient flood control algorithm to reduce the signalling traffic overhead. this is an inherently robust mechanism in the face of a network configuration change, achieves automatic load sharing across alternative routes and has potential to solve many contemporary routing problems. an earlier version of this mechanism was originally developed for virtual circuit establishment in the experimental caroline atm lan [6][7] at monash university.",Jaihyung Cho,http://arxiv.org/pdf/cs/9809101v1,1998-09-24T07:53:23Z,1998-09-24T07:53:23Z,cs.NI,"['cs.NI', 'C.2.2']",1998,cs,NI
cs/9809029v1,Incremental Parser Generation for Tree Adjoining Grammars,"this paper describes the incremental generation of parse tables for the lr-type parsing of tree adjoining languages (tals). the algorithm presented handles modifications to the input grammar by updating the parser generated so far. in this paper, a lazy generation of lr-type parsers for tals is defined in which parse tables are created by need while parsing. we then describe an incremental parser generator for tals which responds to modification of the input grammar by updating parse tables built so far.",Anoop Sarkar,http://arxiv.org/pdf/cs/9809029v1,1998-09-18T05:03:48Z,1998-09-18T05:03:48Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs,CL
cs/9809091v1,Congestion Control in Computer Networks: Trends and Issues,"popular myths that cheaper memory, high-speed links and high-speed processors will solve the problem of congestion in computer networks are shown to be false. a simple definition for congestion based on supply and demand of resources is proposed and is then used to classify various congestion schemes. the issues that make the congestion problem a difficult one are discussed, and then the architectural decisions that affect the design of a congestion scheme are presented. it is argued that long-, medium- and short-term congestion problems require different solutions. some of the recent schemes are brifly surveyed, and areas for further research are discussed.",R. Jain,http://arxiv.org/pdf/cs/9809091v1,1998-09-24T04:56:33Z,1998-09-24T04:56:33Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809084v1,ATM Networks: Issues and Challenges Ahead,the paper begins with a discussion of current trends in networking and a historical reviews of past networking technologies some of which failed. this leads us to the discussion about what it takes for a new technology to succeed and what challenges we face in making the current dream of a seamless world-wide high-speed atm network a reality.   issues in using atm cells for very high speed applications are presented. ensuring that the users benefit from atm networks involves several other related disciplines. these are reviewed.,R. Jain,http://arxiv.org/pdf/cs/9809084v1,1998-09-24T04:39:05Z,1998-09-24T04:39:05Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809002v1,Tally NP Sets and Easy Census Functions,"we study the question of whether every p set has an easy (i.e., polynomial-time computable) census function. we characterize this question in terms of unlikely collapses of language and function classes such as the containment of #p_1 in fp, where #p_1 is the class of functions that count the witnesses for tally np sets. we prove that every #p_{1}^{ph} function can be computed in fp^{#p_{1}^{#p_{1}}}. consequently, every p set has an easy census function if and only if every set in the polynomial hierarchy does. we show that the assumption of #p_1 being contained in fp implies p = bpp and that ph is contained in mod_{k}p for each k \geq 2, which provides further evidence that not all sets in p have an easy census function. we also relate a set's property of having an easy census function to other well-studied properties of sets, such as rankability and scalability (the closure of the rankable sets under p-isomorphisms). finally, we prove that it is no more likely that the census function of any set in p can be approximated (more precisely, can be n^{\alpha}-enumerated in time n^{\beta} for fixed \alpha and \beta) than that it can be precisely computed in polynomial time.",Judy Goldsmith,http://arxiv.org/pdf/cs/9809002v1,1998-09-01T12:15:55Z,1998-09-01T12:15:55Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs,CC
cs/9809095v1,"Congestion Avoidance in Computer Networks with a Connectionless Network
  Layer, Part I: Concepts, Goals and Methodology","congestion is said to occur in the network when the resource demands exceed the capacity and packets are lost due to too much queuing in the network. during congestion, the network throughput may drop to zero and the path delay may become very high. a congestion control scheme helps the network to recover from the congestion state. a congestion avoidance scheme allows a network to operate in the region of low delay and high throughput. such schemes prevent a network from entering the congested state. congestion avoidance is a prevention mechanism while congestion control is a recovery mechanism. we compare the concept of congestion avoidance with that of flow control and congestion control. a number of possible alternative for congestion avoidance have been identified. from these a few were selected for study. the criteria for selection and goals for these schemes have been described. in particular, we wanted the scheme to be globally efficient, fair, dynamic, convergent, robust, distributed, configuration independent, etc. these goals and the test cases used to verify whether a particular scheme has met the goals have been described. we model the network and the user policies for congestion avoidance as a feedback control system. the key components of a generic congestion avoidance scheme are: congestion detection, congestion feedback, feedback selector, signal filter, decision function, and increase/decrease algorithms. these components have been explained.",R. Jain,http://arxiv.org/pdf/cs/9809095v1,1998-09-24T05:10:41Z,1998-09-24T05:10:41Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809069v1,"Design Considerations for the Virtual Source/Virtual Destination (VS/VD)
  Feature in the ABR Service of ATM Networks","the available bit rate (abr) service in atm networks has been specified to allow fair and efficient support of data applications over atm utilizing capacity left over after servicing higher priority classes. one of the architectural features in the abr specification [tm4] is the virtual source/virtual destination (vs/vd) option. this option allows a switch to divide an end-to-end abr connection into separately controlled abr segments by acting like a destination on one segment, and like a source on the other. the coupling in the vs/vd switch between the two abr control segments is implementation specific. in this paper, we model a vs/vd atm switch and study the issues in designing coupling between abr segments. we identify a number of implementation options for the coupling. a good choice significantly improves the stability and transient performance of the system and reduces the buffer requirements at the switches.",Shiv Kalyanaraman,http://arxiv.org/pdf/cs/9809069v1,1998-09-24T03:06:39Z,1998-09-24T03:06:39Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809068v1,Performance Testing Effort at the ATM Forum: An Overview,the testing group at atm forum is working on developing a specification for performance testing of atm switches and networks. the emphasis is on the user perceived frame-level performance. this paper explains what is different about this new effort and gives its status.,Raj Jain,http://arxiv.org/pdf/cs/9809068v1,1998-09-24T03:00:49Z,1998-09-24T03:00:49Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809116v1,"The Complexity of Computing Optimal Assignments of Generalized
  Propositional Formulae","we consider the problems of finding the lexicographically minimal (or maximal) satisfying assignment of propositional formulae for different restricted formula classes. it turns out that for each class from our framework, the above problem is either polynomial time solvable or complete for optp. we also consider the problem of deciding if in the optimal assignment the largest variable gets value 1. we show that this problem is either in p or p^np complete.",Steffen Reith,http://arxiv.org/pdf/cs/9809116v1,1998-09-28T08:38:27Z,1998-09-28T08:38:27Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs,CC
cs/9809097v1,Divergence of Timeout Algorithms for Packet Retransmissions,"the problem of adaptively setting the timeout interval for retransmitting a packet has been discussed. a layered view of the algorithms has been presented. it is shown that a timeout algorithm consists of essentially five layers or procedures which can be independently chosen and modified. a number of timeout algorithms proposed in the literature have been decomposed into these five layers.   one of the key layers not discussed in the literature is that of determining the sample round trip delay for packets that have been transmitted more than once. it is shown that this layer has a significant impact on the network performance.   under repeated packet loss, most timeout algorithms either diverge or converge to a wrong value. a number of alternative schemes have been presented. it is argued that divergence is preferable to false convergence. it is a feature that is helpful in reducing network traffic congestion.",R. Jain,http://arxiv.org/pdf/cs/9809097v1,1998-09-24T05:19:36Z,1998-09-24T05:19:36Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809072v1,"Performance of TCP over ABR on ATM backbone and with various VBR traffic
  patterns","we extend our earlier studies of buffer requirements of tcp over abr in two directions. first, we study the performance of tcp over abr in an atm backbone. on the backbone, the tcp queues are at the edge router and not inside the atm network. the router requires buffer equal to the sum of the receiver window sizes of the participating tcp connections. second, we introduce various patterns of vbr background traffic. the vbr background introduces variance in the abr capacity and the tcp traffic introduces variance in the abr demand. some simple switch schemes are unable to keep up with the combined effect of highly varying demands and highly varying abr capacity. we present our experiences with refining the erica+ switch scheme to handle these conditions.",Shiv Kalyanaraman,http://arxiv.org/pdf/cs/9809072v1,1998-09-24T03:15:14Z,1998-09-24T03:15:14Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809092v1,"Characteristics of Destination Address Locality in Computer Networks: A
  Comparison of Caching Schemes","the size of computer networks, along with their bandwidths, is growing exponentially. to support these large, high-speed networks, it is neccessary to be able to forward packets in a few microseconds. one part of the forwarding operation consists of searching through a large address databse. this problem is encountered in the design of bridges, routers, gateways and name servers.   caching can reduce the lookup time if there is a locality in the address reference pattern. using a destination reference trace measured on an extended local are a network, we attempt to see if the destination refernces do have a significant locality.   we compared the performance of min, lru, fifo, and random cache replacement algorithms. we found that the interactive (terminal) traffic in our sample had quite different locality behavior than that of the noninteractive traffic. the interactive traffic did not follow the lru stack model while the noninteractivetraffic did. examples are shown of the environments in which caching can help as well as those in which caching can hurt, unless the cache size is large.",R. Jain,http://arxiv.org/pdf/cs/9809092v1,1998-09-24T04:58:23Z,1998-09-24T04:58:23Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809113v1,Improving Tagging Performance by Using Voting Taggers,"we present a bootstrapping method to develop an annotated corpus, which is specially useful for languages with few available resources. the method is being applied to develop a corpus of spanish of over 5mw. the method consists on taking advantage of the collaboration of two different pos taggers. the cases in which both taggers agree present a higher accuracy and are used to retrain the taggers.",L. Marquez,http://arxiv.org/pdf/cs/9809113v1,1998-09-28T07:50:55Z,1998-09-28T07:50:55Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
